LLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,CLAVE_ENTIDAD_INEGI(CLAVE_DE_AGEE),LLAVE_MUNICIPIO,CLAVE_MUNICIPIO_INEGI(CLAVE_DE_AGEEM),MUNICIPIO,MERCADO_TRABAJO_LOCAL
9,Ciudad de México,09,10,011,Tláhuac,197
9,Ciudad de México,09,11,012,Tlalpan,197
9,Ciudad de México,09,12,013,Xochimilco,197
9,Ciudad de México,09,13,014,Benito Juárez,197
9,Ciudad de México,09,14,015,Cuauhtémoc,197
9,Ciudad de México,09,15,016,Miguel Hidalgo,197
9,Ciudad de México,09,16,017,Venustiano Carranza,197
15,México,15,683,029,Chicoloapan,197
15,México,15,685,031,Chimalhuacán,197
15,México,15,691,037,Huixquilucan,197
15,México,15,700,046,Jilotzingo,197
15,México,15,711,057,Naucalpan de Juárez,197
15,México,15,712,058,Nezahualcóyotl,197
15,México,15,724,070,La Paz,197
15,México,15,666,012,Atizapán,198
15,México,15,667,013,Atizapán de Zaragoza,198
15,México,15,674,020,Coacalco de Berriozábal,198
15,México,15,677,023,Coyotepec,198
15,México,15,678,024,Cuautitlán,198
15,México,15,689,035,Huehuetoca,198
15,México,15,692,038,Isidro Fabela,198
15,México,15,707,053,Melchor Ocampo,198
15,México,15,714,060,Nicolás Romero,198
15,México,15,745,091,Teoloyucan,198
15,México,15,749,095,Tepotzotlán,198
15,México,15,758,104,Tlalnepantla de Baz,198
15,México,15,762,108,Tultepec,198
15,México,15,763,109,Tultitlán,198
15,México,15,775,121,Cuautitlán Izcalli,198
15,México,15,766,112,Villa del Carbón,199
13,Hidalgo,13,514,069,Tizayuca,200
15,México,15,690,036,Hueypoxtla,200
15,México,15,698,044,Jaltenco,200
15,México,15,713,059,Nextlalpan,200
15,México,15,735,081,Tecámac,200
15,México,15,738,084,Temascalapa,200
15,México,15,750,096,Tequixquiac,200
15,México,15,774,120,Zumpango,200
15,México,15,779,125,Tonanitla,200
15,México,15,664,010,Apaxco,201
15,México,15,656,002,Acolman,202
15,México,15,665,011,Atenco,202
15,México,15,682,028,Chiautla,202
15,México,15,684,030,Chiconcuac,202
15,México,15,687,033,Ecatepec de Morelos,202
15,México,15,723,069,Papalotla,202
15,México,15,747,093,Tepetlaoxtoc,202
15,México,15,753,099,Texcoco,202
15,México,15,754,100,Tezoyuca,202
15,México,15,670,016,Axapusco,203
15,México,15,715,061,Nopaltepec,203
15,México,15,719,065,Otumba,203
15,México,15,729,075,San Martín de las Pirámides,203
15,México,15,746,092,Teotihuacán,203
15,México,15,663,009,Amecameca,204
15,México,15,669,015,Atlautla,204
15,México,15,671,017,Ayapango,204
15,México,15,676,022,Cocotitlán,204
15,México,15,679,025,Chalco,204
15,México,15,688,034,Ecatzingo,204
15,México,15,693,039,Ixtapaluca,204
15,México,15,704,050,Juchitepec,204
15,México,15,722,068,Ozumba,204
15,México,15,737,083,Temamatla,204
15,México,15,743,089,Tenango del Aire,204
15,México,15,748,094,Tepetlixpa,204
15,México,15,757,103,Tlalmanalco,204
15,México,15,776,122,Valle de Chalco Solidaridad,204
12,Guerrero,12,413,049,Pilcaya,205
15,México,15,675,021,Coatepec Harinas,205
15,México,15,694,040,Ixtapan de la Sal,205
15,México,15,761,107,Tonatico,205
15,México,15,771,117,Zacualpan,205
15,México,15,658,004,Almoloya de Alquisiras,206
15,México,15,734,080,Sultepec,206
15,México,15,751,097,Texcaltitlán,206
15,México,15,655,001,Acambay de Ruíz Castañeda,207
15,México,15,668,014,Atlacomulco,207
15,México,15,696,042,Ixtlahuaca,207
15,México,15,701,047,Jiquipilco,207
15,México,15,702,048,Jocotitlán,207
15,México,15,710,056,Morelos,207
15,México,15,718,064,El Oro,207
15,México,15,728,074,San Felipe del Progreso,207
15,México,15,756,102,Timilpan,207
15,México,15,778,124,San José del Rincón,207
15,México,15,739,085,Temascalcingo,208
15,México,15,659,005,Almoloya de Juárez,209
15,México,15,672,018,Calimaya,209
15,México,15,681,027,Chapultepec,209
15,México,15,705,051,Lerma,209
15,México,15,708,054,Metepec,209
15,México,15,709,055,Mexicaltzingo,209
15,México,15,716,062,Ocoyoacac,209
15,México,15,721,067,Otzolotepec,209
15,México,15,726,072,Rayón,209
15,México,15,727,073,San Antonio la Isla,209
15,México,15,730,076,San Mateo Atenco,209
15,México,15,741,087,Temoaya,209
15,México,15,744,090,Tenango del Valle,209
15,México,15,760,106,Toluca,209
15,México,15,769,115,Xonacatlán,209
15,México,15,772,118,Zinacantepec,209
15,México,15,660,006,Almoloya del Río,210
15,México,15,673,019,Capulhuac,210
15,México,15,697,043,Xalatlaco,210
15,México,15,752,098,Texcalyacac,210
15,México,15,755,101,Tianguistenco,210
15,México,15,703,049,Joquicingo,211
15,México,15,742,088,Tenancingo,211
15,México,15,767,113,Villa Guerrero,211
15,México,15,773,119,Zumpahuacán,211
15,México,15,706,052,Malinalco,212
15,México,15,717,063,Ocuilan,212
15,México,15,661,007,Amanalco,213
15,México,15,686,032,Donato Guerra,213
15,México,15,720,066,Otzoloapan,213
15,México,15,732,078,Santo Tomás,213
15,México,15,764,110,Valle de Bravo,213
15,México,15,770,116,Zacazonapan,213
15,México,15,695,041,Ixtapan del Oro,214
15,México,15,765,111,Villa de Allende,214
15,México,15,768,114,Villa Victoria,214
15,México,15,662,008,Amatepec,215
15,México,15,759,105,Tlatlaya,215
15,México,15,731,077,San Simón de Guerrero,216
15,México,15,736,082,Tejupilco,216
15,México,15,740,086,Temascaltepec,216
15,México,15,777,123,Luvianos,216
13,Hidalgo,13,446,001,Acatlán,217
13,Hidalgo,13,447,002,Acaxochitlán,217
13,Hidalgo,13,449,004,Agua Blanca de Iturbide,217
13,Hidalgo,13,461,016,Cuautepec de Hinojosa,217
13,Hidalgo,13,480,035,Metepec,217
13,Hidalgo,13,501,056,Santiago Tulantepec de Lugo Guerrero,217
13,Hidalgo,13,502,057,Singuilucan,217
13,Hidalgo,13,522,077,Tulancingo de Bravo,217
21,Puebla,21,1620,057,Honey,218
21,Puebla,21,1672,109,Pahuatlán,218
13,Hidalgo,13,472,027,Huehuetla,219
13,Hidalgo,13,498,053,San Bartolo Tutotepec,219
13,Hidalgo,13,505,060,Tenango de Doria,219
13,Hidalgo,13,448,003,Actopan,220
13,Hidalgo,13,454,009,El Arenal,220
13,Hidalgo,13,499,054,San Salvador,220
13,Hidalgo,13,500,055,Santiago de Anaya,220
13,Hidalgo,13,457,012,Atotonilco el Grande,221
13,Hidalgo,13,469,024,Huasca de Ocampo,221
13,Hidalgo,13,467,022,Epazoyucan,222
13,Hidalgo,13,483,038,Mineral del Chico,222
13,Hidalgo,13,484,039,Mineral del Monte,222
13,Hidalgo,13,490,045,Omitlán de Juárez,222
13,Hidalgo,13,493,048,Pachuca de Soto,222
13,Hidalgo,13,496,051,Mineral de la Reforma,222
13,Hidalgo,13,497,052,San Agustín Tlaxiaca,222
13,Hidalgo,13,520,075,Tolcayuca,222
13,Hidalgo,13,527,082,Zapotlán de Juárez,222
13,Hidalgo,13,528,083,Zempoala,222
13,Hidalgo,13,452,007,Almoloya,223
13,Hidalgo,13,453,008,Apan,223
13,Hidalgo,13,466,021,Emiliano Zapata,223
13,Hidalgo,13,506,061,Tepeapulco,223
13,Hidalgo,13,517,072,Tlanalapa,223
13,Hidalgo,13,450,005,Ajacuba,224
13,Hidalgo,13,455,010,Atitalaquia,224
13,Hidalgo,13,458,013,Atotonilco de Tula,224
13,Hidalgo,13,509,064,Tepetitlán,224
13,Hidalgo,13,510,065,Tetepango,224
13,Hidalgo,13,512,067,Tezontepec de Aldama,224
13,Hidalgo,13,515,070,Tlahuelilpan,224
13,Hidalgo,13,519,074,Tlaxcoapan,224
13,Hidalgo,13,521,076,Tula de Allende,224
13,Hidalgo,13,464,019,Chilcuautla,225
13,Hidalgo,13,468,023,Francisco I. Madero,225
13,Hidalgo,13,486,041,Mixquiahuala de Juárez,225
13,Hidalgo,13,495,050,Progreso de Obregón,225
13,Hidalgo,13,511,066,Villa de Tezontepec,225
13,Hidalgo,13,508,063,Tepeji del Río de Ocampo,226
15,México,15,680,026,Chapa de Mota,226
15,México,15,699,045,Jilotepec,226
15,México,15,733,079,Soyaniquilpan de Juárez,226
13,Hidalgo,13,451,006,Alfajayucan,227
13,Hidalgo,13,460,015,Cardonal,227
13,Hidalgo,13,475,030,Ixmiquilpan,227
13,Hidalgo,13,488,043,Nicolás Flores,227
13,Hidalgo,13,492,047,Pacula,227
13,Hidalgo,13,503,058,Tasquillo,227
13,Hidalgo,13,529,084,Zimapán,227
13,Hidalgo,13,462,017,Chapantongo,228
13,Hidalgo,13,474,029,Huichapan,228
13,Hidalgo,13,489,044,Nopala de Villagrán,228
13,Hidalgo,13,465,020,Eloxochitlán,229
13,Hidalgo,13,482,037,Metztitlán,229
13,Hidalgo,13,516,071,Tlahuiltepa,230
13,Hidalgo,13,478,033,Juárez Hidalgo,231
29,Tlaxcala,29,2019,006,Calpulalpan,231
29,Tlaxcala,29,2033,020,Sanctórum de Lázaro Cárdenas,231
29,Tlaxcala,29,2034,021,Nanacamilpa de Mariano Arista,231
29,Tlaxcala,29,2058,045,Benito Juárez,231
13,Hidalgo,13,463,018,Chapulhuacán,232
13,Hidalgo,13,494,049,Pisaflores,232
13,Hidalgo,13,476,031,Jacala de Ledezma,233
13,Hidalgo,13,485,040,La Misión,233
13,Hidalgo,13,456,011,Atlapexco,234
13,Hidalgo,13,471,026,Huazalingo,234
13,Hidalgo,13,473,028,Huejutla de Reyes,234
13,Hidalgo,13,477,032,Jaltocán,234
13,Hidalgo,13,525,080,Yahualica,234
30,Veracruz de Ignacio de la Llave,30,2128,055,Chalma,234
30,Veracruz de Ignacio de la Llave,30,2129,056,Chiconamel,234
13,Hidalgo,13,491,046,San Felipe Orizatlán,235
13,Hidalgo,13,470,025,Huautla,236
13,Hidalgo,13,523,078,Xochiatipan,236
13,Hidalgo,13,459,014,Calnali,237
13,Hidalgo,13,479,034,Lolotla,238
13,Hidalgo,13,487,042,Molango de Escamilla,238
13,Hidalgo,13,507,062,Tepehuacán de Guerrero,238
13,Hidalgo,13,518,073,Tlanchinol,238
13,Hidalgo,13,481,036,San Agustín Metzquititlán,239
13,Hidalgo,13,513,068,Tianguistengo,239
13,Hidalgo,13,524,079,Xochicoatlán,239
13,Hidalgo,13,526,081,Zacualtipán de Ángeles,239
28,Tamaulipas,28,1973,002,Aldama,240
28,Tamaulipas,28,1982,012,González,241
28,Tamaulipas,28,1974,003,Altamira,242
28,Tamaulipas,28,1980,009,Ciudad Madero,242
28,Tamaulipas,28,2008,038,Tampico,242
30,Veracruz de Ignacio de la Llave,30,2196,123,Pánuco,242
30,Veracruz de Ignacio de la Llave,30,2206,133,Pueblo Viejo,242
30,Veracruz de Ignacio de la Llave,30,2225,152,Tampico Alto,242
30,Veracruz de Ignacio de la Llave,30,2202,129,Platón Sánchez,243
30,Veracruz de Ignacio de la Llave,30,2228,155,Tantoyuca,243
30,Veracruz de Ignacio de la Llave,30,2234,161,Tempoal,243
30,Veracruz de Ignacio de la Llave,30,2086,013,Naranjos Amatlán,244
30,Veracruz de Ignacio de la Llave,30,2108,035,Citlaltépetl,244
30,Veracruz de Ignacio de la Llave,30,2133,060,Chinampa de Gorostiza,244
30,Veracruz de Ignacio de la Llave,30,2223,150,Tamalín,244
30,Veracruz de Ignacio de la Llave,30,2227,154,Tantima,244
30,Veracruz de Ignacio de la Llave,30,2136,063,Chontla,245
30,Veracruz de Ignacio de la Llave,30,2151,078,Ixcatepec,245
30,Veracruz de Ignacio de la Llave,30,2194,121,Ozuluama de Mascareñas,245
30,Veracruz de Ignacio de la Llave,30,2107,034,Cerro Azul,246
30,Veracruz de Ignacio de la Llave,30,2226,153,Tancoco,246
30,Veracruz de Ignacio de la Llave,30,2233,160,Álamo Temapache,246
30,Veracruz de Ignacio de la Llave,30,2240,167,Tepetzintla,246
30,Veracruz de Ignacio de la Llave,30,2224,151,Tamiahua,247
30,Veracruz de Ignacio de la Llave,30,2262,189,Tuxpan,247
30,Veracruz de Ignacio de la Llave,30,2100,027,Benito Juárez,248
30,Veracruz de Ignacio de la Llave,30,2131,058,Chicontepec,248
30,Veracruz de Ignacio de la Llave,30,2275,202,Zontecomatlán de López y Fuentes,248
30,Veracruz de Ignacio de la Llave,30,2156,083,Ixhuatlán de Madero,249
30,Veracruz de Ignacio de la Llave,30,2145,072,Huayacocotla,250
30,Veracruz de Ignacio de la Llave,30,2243,170,Texcatepec,250
30,Veracruz de Ignacio de la Llave,30,2271,198,Zacualpan,250
30,Veracruz de Ignacio de la Llave,30,2149,076,Ilamatlán,251
30,Veracruz de Ignacio de la Llave,30,2253,180,Tlachichilco,252
21,Puebla,21,1571,008,Ahuazotepec,253
21,Puebla,21,1634,071,Huauchinango,253
21,Puebla,21,1654,091,Juan Galindo,253
21,Puebla,21,1663,100,Naupan,253
21,Puebla,21,1746,183,Tlaola,254
21,Puebla,21,1747,184,Tlapacoya,255
21,Puebla,21,1612,049,Chiconcuautla,256
21,Puebla,21,1649,086,Jalpan,257
21,Puebla,21,1674,111,Pantepec,257
21,Puebla,21,1757,194,Venustiano Carranza,257
21,Puebla,21,1760,197,Xicotepec,257
21,Puebla,21,1776,213,Zihuateutla,257
21,Puebla,21,1741,178,Tlacuilotepec,258
21,Puebla,21,1750,187,Tlaxco,258
21,Puebla,21,1627,064,Francisco Z. Mena,259
21,Puebla,21,1652,089,Jopala,260
30,Veracruz de Ignacio de la Llave,30,2140,067,Filomeno Mata,260
30,Veracruz de Ignacio de la Llave,30,2110,037,Coahuitlán,261
30,Veracruz de Ignacio de la Llave,30,2124,051,Coyutla,261
30,Veracruz de Ignacio de la Llave,30,2176,103,Mecatlán,261
30,Veracruz de Ignacio de la Llave,30,2106,033,Cazones de Herrera,262
30,Veracruz de Ignacio de la Llave,30,2113,040,Coatzintla,262
30,Veracruz de Ignacio de la Llave,30,2204,131,Poza Rica de Hidalgo,262
30,Veracruz de Ignacio de la Llave,30,2230,157,Castillo de Teayo,262
30,Veracruz de Ignacio de la Llave,30,2248,175,Tihuatlán,262
30,Veracruz de Ignacio de la Llave,30,2123,050,Coxquihui,263
30,Veracruz de Ignacio de la Llave,30,2137,064,Chumatlán,263
30,Veracruz de Ignacio de la Llave,30,2139,066,Espinal,263
30,Veracruz de Ignacio de la Llave,30,2197,124,Papantla,263
30,Veracruz de Ignacio de la Llave,30,2276,203,Zozocolco de Hidalgo,264
30,Veracruz de Ignacio de la Llave,30,2142,069,Gutiérrez Zamora,265
30,Veracruz de Ignacio de la Llave,30,2231,158,Tecolutla,265
12,Guerrero,12,365,001,Acapulco de Juárez,266
12,Guerrero,12,385,021,Coyuca de Benítez,266
12,Guerrero,12,416,052,San Luis Acatlán,266
12,Guerrero,12,403,039,Juan R. Escudero,267
12,Guerrero,12,376,012,Ayutla de los Libres,268
12,Guerrero,12,420,056,Tecoanapa,268
12,Guerrero,12,382,018,Copala,269
12,Guerrero,12,389,025,Cuautepec,269
12,Guerrero,12,394,030,Florencio Villarreal,269
12,Guerrero,12,417,053,San Marcos,269
12,Guerrero,12,377,013,Azoyú,270
12,Guerrero,12,400,036,Igualapa,270
12,Guerrero,12,410,046,Ometepec,270
12,Guerrero,12,426,062,Tlacoachistlahuaca,270
12,Guerrero,12,441,077,Marquelia,270
12,Guerrero,12,444,080,Juchitán,270
12,Guerrero,12,435,071,Xochistlahuaca,271
12,Guerrero,12,366,002,Ahuacuotzingo,272
12,Guerrero,12,374,010,Atlixtac,272
12,Guerrero,12,392,028,Chilapa de Álvarez,272
12,Guerrero,12,438,074,Zitlala,272
12,Guerrero,12,443,079,José Joaquín de Herrera,272
12,Guerrero,12,368,004,Alcozauca de Guerrero,273
12,Guerrero,12,384,020,Copanatoyac,273
12,Guerrero,12,405,041,Malinaltepec,273
12,Guerrero,12,407,043,Metlatónoc,273
12,Guerrero,12,427,063,Tlacoapa,273
12,Guerrero,12,430,066,Tlapa de Comonfort,273
12,Guerrero,12,433,069,Xalpatláhuac,273
12,Guerrero,12,436,072,Zapotitlán Tablas,273
12,Guerrero,12,440,076,Acatepec,273
12,Guerrero,12,442,078,Cochoapa el Grande,273
12,Guerrero,12,445,081,Iliatenco,273
12,Guerrero,12,369,005,Alpoyeca,274
12,Guerrero,12,373,009,Atlamajalcingo del Monte,275
12,Guerrero,12,393,029,Chilpancingo de los Bravo,275
12,Guerrero,12,396,032,General Heliodoro Castillo,275
12,Guerrero,12,404,040,Leonardo Bravo,275
12,Guerrero,12,406,042,Mártir de Cuilapan,275
12,Guerrero,12,408,044,Mochitlán,275
12,Guerrero,12,415,051,Quechultenango,275
12,Guerrero,12,425,061,Tixtla de Guerrero,275
12,Guerrero,12,439,075,Eduardo Neri,275
12,Guerrero,12,388,024,Cualác,276
12,Guerrero,12,397,033,Huamuxtitlán,276
12,Guerrero,12,434,070,Xochihuehuetlán,276
12,Guerrero,12,429,065,Tlalixtaquilla de Maldonado,277
12,Guerrero,12,375,011,Atoyac de Álvarez,278
12,Guerrero,12,378,014,Benito Juárez,278
12,Guerrero,12,421,057,Técpan de Galeana,278
12,Guerrero,12,367,003,Ajuchitlán del Progreso,279
12,Guerrero,12,386,022,Coyuca de Catalán,279
12,Guerrero,12,391,027,Cutzamala de Pinzón,279
12,Guerrero,12,414,050,Pungarabato,279
12,Guerrero,12,431,067,Tlapehuala,279
12,Guerrero,12,418,054,San Miguel Totolapan,280
12,Guerrero,12,428,064,Tlalchapa,281
12,Guerrero,12,437,073,Zirándaro,282
12,Guerrero,12,370,006,Apaxtla,283
12,Guerrero,12,390,026,Cuetzala del Progreso,284
12,Guerrero,12,371,007,Arcelia,285
12,Guerrero,12,395,031,General Canuto A. Neri,285
12,Guerrero,12,411,047,Pedro Ascencio Alquisiras,285
12,Guerrero,12,422,058,Teloloapan,285
12,Guerrero,12,401,037,Ixcateopan de Cuauhtémoc,286
12,Guerrero,12,372,008,Atenango del Río,287
12,Guerrero,12,381,017,Cocula,287
12,Guerrero,12,383,019,Copalillo,287
12,Guerrero,12,398,034,Huitzuco de los Figueroa,287
12,Guerrero,12,399,035,Iguala de la Independencia,287
12,Guerrero,12,423,059,Tepecoacuilco de Trujano,287
12,Guerrero,12,379,015,Buenavista de Cuéllar,288
12,Guerrero,12,419,055,Taxco de Alarcón,289
12,Guerrero,12,424,060,Tetipac,289
12,Guerrero,12,409,045,Olinalá,290
17,Morelos,17,894,002,Atlatlahucan,290
17,Morelos,17,915,023,Tlalnepantla,290
17,Morelos,17,918,026,Tlayacapan,290
17,Morelos,17,919,027,Totolapan,290
17,Morelos,17,921,029,Yautepec,290
17,Morelos,17,896,004,Ayala,291
17,Morelos,17,898,006,Cuautla,291
17,Morelos,17,902,010,Jantetelco,291
17,Morelos,17,905,013,Jonacatepec,291
17,Morelos,17,908,016,Ocuituco,291
17,Morelos,17,911,019,Tepalcingo,291
17,Morelos,17,914,022,Tetela del Volcán,291
17,Morelos,17,922,030,Yecapixtla,291
17,Morelos,17,924,032,Zacualpan de Amilpas,291
17,Morelos,17,925,033,Temoac,291
17,Morelos,17,2468,036,Hueyapan,291
21,Puebla,21,1568,005,Acteopan,292
21,Puebla,21,1596,033,Cohuecan,293
17,Morelos,17,893,001,Amacuzac,294
17,Morelos,17,899,007,Cuernavaca,294
17,Morelos,17,900,008,Emiliano Zapata,294
17,Morelos,17,901,009,Huitzilac,294
17,Morelos,17,903,011,Jiutepec,294
17,Morelos,17,904,012,Jojutla,294
17,Morelos,17,909,017,Puente de Ixtla,294
17,Morelos,17,910,018,Temixco,294
17,Morelos,17,912,020,Tepoztlán,294
17,Morelos,17,916,024,Tlaltizapán de Zapata,294
17,Morelos,17,917,025,Tlaquiltenango,294
17,Morelos,17,920,028,Xochitepec,294
17,Morelos,17,923,031,Zacatepec,294
17,Morelos,17,2467,035,Xoxocotla,294
17,Morelos,17,897,005,Coatlán del Río,295
17,Morelos,17,906,014,Mazatepec,295
17,Morelos,17,907,015,Miacatlán,295
17,Morelos,17,913,021,Tetecala,295
17,Morelos,17,2466,034,Coatetelco,295
17,Morelos,17,895,003,Axochiapan,296
21,Puebla,21,1650,087,Jolalpan,296
21,Puebla,21,1723,160,Teotlalco,296
21,Puebla,21,1595,032,Cohetzala,297
21,Puebla,21,1610,047,Chiautla,297
21,Puebla,21,1636,073,Huehuetlán el Chico,297
21,Puebla,21,1644,081,Ixcamilpa de Guerrero,297
21,Puebla,21,1570,007,Ahuatlán,298
21,Puebla,21,1584,021,Atzala,299
21,Puebla,21,1614,051,Chietla,299
21,Puebla,21,1625,062,Epatlán,299
21,Puebla,21,1648,085,Izúcar de Matamoros,299
21,Puebla,21,1731,168,Tepexco,299
21,Puebla,21,1739,176,Tilapa,299
21,Puebla,21,1764,201,Xochiltepec,299
21,Puebla,21,1729,166,Tepeojuma,300
21,Puebla,21,1748,185,Tlapanalá,301
21,Puebla,21,1722,159,Teopantlán,302
21,Puebla,21,1594,031,Coatzingo,303
21,Puebla,21,1582,019,Atlixco,304
21,Puebla,21,1585,022,Atzitzihuacán,304
21,Puebla,21,1632,069,Huaquechula,304
21,Puebla,21,1738,175,Tianguismanalco,304
21,Puebla,21,1751,188,Tochimilco,304
21,Puebla,21,1684,121,San Diego la Mesa Tochimiltzingo,305
21,Puebla,21,1566,003,Acatlán,306
21,Puebla,21,1629,066,Guadalupe,306
21,Puebla,21,1690,127,San Jerónimo Xayacatlán,306
21,Puebla,21,1702,139,San Pablo Anicano,306
21,Puebla,21,1704,141,San Pedro Yeloixtlahuaca,306
21,Puebla,21,1753,190,Totoltepec de Guerrero,306
21,Puebla,21,1759,196,Xayacatlán de Bravo,306
21,Puebla,21,1618,055,Chila,307
21,Puebla,21,1675,112,Petlalcingo,307
21,Puebla,21,1698,135,San Miguel Ixitlán,307
21,Puebla,21,1572,009,Ahuehuetitla,308
21,Puebla,21,1587,024,Axutla,308
21,Puebla,21,1622,059,Chinantla,308
21,Puebla,21,1676,113,Piaxtla,308
21,Puebla,21,1720,157,Tehuitzingo,308
21,Puebla,21,1574,011,Albino Zertuche,309
21,Puebla,21,1619,056,Chila de la Sal,310
21,Puebla,21,1718,155,Tecomatlán,310
21,Puebla,21,1754,191,Tulcingo,310
21,Puebla,21,1761,198,Xicotlán,311
21,Puebla,21,1564,001,Acajete,312
21,Puebla,21,1578,015,Amozoc,312
21,Puebla,21,1597,034,Coronango,312
21,Puebla,21,1603,040,Cuautinchán,312
21,Puebla,21,1604,041,Cuautlancingo,312
21,Puebla,21,1637,074,Huejotzingo,312
21,Puebla,21,1677,114,Puebla,312
21,Puebla,21,1696,133,San Martín Totoltepec,312
21,Puebla,21,1699,136,San Miguel Xoxtla,312
21,Puebla,21,1726,163,Tepatlaxco de Hidalgo,312
21,Puebla,21,1744,181,Tlaltenango,312
29,Tlaxcala,29,2038,025,San Pablo del Monte,312
29,Tlaxcala,29,2040,027,Tenancingo,312
21,Puebla,21,1728,165,Tepemaxalco,313
29,Tlaxcala,29,2035,022,Acuamanala de Miguel Hidalgo,313
29,Tlaxcala,29,2041,028,Teolocholco,313
29,Tlaxcala,29,2042,029,Tepeyanco,313
29,Tlaxcala,29,2054,041,Papalotla de Xicohténcatl,313
29,Tlaxcala,29,2055,042,Xicohtzinco,313
29,Tlaxcala,29,2057,044,Zacatelco,313
29,Tlaxcala,29,2066,053,San Juan Huactzinco,313
29,Tlaxcala,29,2067,054,San Lorenzo Axocomanitla,313
29,Tlaxcala,29,2071,058,Santa Catarina Ayometla,313
29,Tlaxcala,29,2072,059,Santa Cruz Quilehtla,313
29,Tlaxcala,29,2073,060,Santa Isabel Xiloxoxtla,313
29,Tlaxcala,29,2036,023,Natívitas,314
29,Tlaxcala,29,2045,032,Tetlatlahuca,314
29,Tlaxcala,29,2062,049,San Damián Texóloc,314
29,Tlaxcala,29,2064,051,San Jerónimo Zacualpan,314
29,Tlaxcala,29,2070,057,Santa Apolonia Teacalco,314
21,Puebla,21,1589,026,Calpan,315
21,Puebla,21,1653,090,Juan C. Bonilla,315
21,Puebla,21,1665,102,Nealtican,315
21,Puebla,21,1689,126,San Jerónimo Tecuanipan,315
21,Puebla,21,1701,138,San Nicolás de los Ranchos,315
21,Puebla,21,1703,140,San Pedro Cholula,315
21,Puebla,21,1623,060,Domingo Arenas,316
21,Puebla,21,1669,106,Ocoyucan,317
21,Puebla,21,1682,119,San Andrés Cholula,317
21,Puebla,21,1688,125,San Gregorio Atzompa,317
21,Puebla,21,1694,131,San Juan Atzompa,317
21,Puebla,21,1711,148,Santa Isabel Cholula,317
29,Tlaxcala,29,2030,017,Mazatecochco de José María Morelos,318
21,Puebla,21,1611,048,Chiautzingo,319
21,Puebla,21,1686,123,San Felipe Tepatlán,319
21,Puebla,21,1685,122,San Felipe Teotlalcingo,320
21,Puebla,21,1695,132,San Martín Texmelucan,320
21,Puebla,21,1697,134,San Matías Tlalancaleca,320
21,Puebla,21,1706,143,San Salvador el Verde,320
21,Puebla,21,1743,180,Tlahuapan,320
29,Tlaxcala,29,2025,012,Españita,320
29,Tlaxcala,29,2032,019,Tepetitla de Lardizábal,320
21,Puebla,21,1667,104,Nopalucan,321
21,Puebla,21,1680,117,Rafael Lara Grajales,321
21,Puebla,21,1691,128,San José Chiapa,321
29,Tlaxcala,29,2017,004,Atltzayanca,322
29,Tlaxcala,29,2020,007,El Carmen Tequexquitla,322
29,Tlaxcala,29,2021,008,Cuapiaxtla,322
29,Tlaxcala,29,2026,013,Huamantla,322
29,Tlaxcala,29,2029,016,Ixtenco,322
29,Tlaxcala,29,2050,037,Ziltlaltépec de Trinidad Sánchez Santos,322
29,Tlaxcala,29,2014,001,Amaxac de Guerrero,323
29,Tlaxcala,29,2015,002,Apetatitlán de Antonio Carvajal,323
29,Tlaxcala,29,2016,003,Atlangatepec,323
29,Tlaxcala,29,2018,005,Apizaco,323
29,Tlaxcala,29,2022,009,Cuaxomulco,323
29,Tlaxcala,29,2023,010,Chiautempan,323
29,Tlaxcala,29,2024,011,Muñoz de Domingo Arenas,323
29,Tlaxcala,29,2027,014,Hueyotlipan,323
29,Tlaxcala,29,2028,015,Ixtacuixtla de Mariano Matamoros,323
29,Tlaxcala,29,2031,018,Contla de Juan Cuamatzi,323
29,Tlaxcala,29,2037,024,Panotla,323
29,Tlaxcala,29,2039,026,Santa Cruz Tlaxcala,323
29,Tlaxcala,29,2043,030,Terrenate,323
29,Tlaxcala,29,2044,031,Tetla de la Solidaridad,323
29,Tlaxcala,29,2046,033,Tlaxcala,323
29,Tlaxcala,29,2047,034,Tlaxco,323
29,Tlaxcala,29,2048,035,Tocatlán,323
29,Tlaxcala,29,2049,036,Totolac,323
29,Tlaxcala,29,2051,038,Tzompantepec,323
29,Tlaxcala,29,2052,039,Xaloztoc,323
29,Tlaxcala,29,2053,040,Xaltocan,323
29,Tlaxcala,29,2056,043,Yauhquemehcan,323
29,Tlaxcala,29,2059,046,Emiliano Zapata,323
29,Tlaxcala,29,2060,047,Lázaro Cárdenas,323
29,Tlaxcala,29,2061,048,La Magdalena Tlaltelulco,323
29,Tlaxcala,29,2063,050,San Francisco Tetlanohcan,323
29,Tlaxcala,29,2065,052,San José Teacalco,323
29,Tlaxcala,29,2068,055,San Lucas Tecopilco,323
29,Tlaxcala,29,2069,056,Santa Ana Nopalucan,323
21,Puebla,21,1567,004,Acatzingo,324
21,Puebla,21,1601,038,Cuapiaxtla de Madero,324
21,Puebla,21,1628,065,General Felipe Ángeles,324
21,Puebla,21,1673,110,Palmar de Bravo,324
21,Puebla,21,1678,115,Quecholac,324
21,Puebla,21,1681,118,Los Reyes de Juárez,324
21,Puebla,21,1707,144,San Salvador Huixcolotla,324
21,Puebla,21,1717,154,Tecamachalco,324
